circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
adder_n118,12,12,1295,1332,1479,1506,1310.1,1491.8,13.87,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
adder_n433,12,12,4755,4851,5457,5562,4825.2,5525.9,14.52,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
bv_n280,12,12,665,669,965,965,667.3,965.0,44.61,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
cc_n151,12,12,300,302,594,594,301.3,594.0,97.12,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
cc_n301,12,12,600,602,1194,1194,601.0,1194.0,98.67,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
cc_n32,12,12,64,96,118,118,89.2,118.0,32.34,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
cc_n64,12,12,126,178,246,246,131.0,246.0,87.79,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
dnn_n33,12,12,299,314,365,377,308.8,373.2,20.89,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
dnn_n51,12,12,480,508,587,608,494.2,596.8,20.78,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
knn_129,12,12,578,593,826,835,579.2,826.8,42.73,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
knn_341,12,12,1532,1547,2204,2213,1535.8,2206.2,43.66,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
knn_n31,12,12,137,137,189,189,137.0,189.0,37.96,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
knn_n41,12,12,182,182,254,254,182.0,254.0,39.56,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
knn_n67,12,12,299,299,423,423,299.0,423.0,41.47,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
qugan_n111,12,12,1136,1174,1367,1388,1155.8,1377.5,19.19,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
