circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
cc_n32,32,two_q,1,0.138,12,12,95.0,146.0,121.83,119.5,14.16,16.0,11.623,53.68,0.002,-0.417,0.9809
bv_n30,30,two_q,12,0.018,12,10,48.0,70.0,55.92,54.0,6.345,4.5,11.348,45.83,1.116,0.38,0.0753
bv_n70,70,two_q,12,0.049,12,9,127.0,166.0,146.5,151.0,14.97,26.0,10.218,30.71,-0.154,-1.5,0.0871
cc_n151,151,two_q,1,1.839,12,12,873.0,1113.0,1000.42,992.5,72.167,97.5,7.214,27.49,-0.24,-0.858,0.7756
bv_n140,140,two_q,12,0.08,12,11,365.0,464.0,411.92,414.5,31.939,44.75,7.754,27.12,-0.119,-1.123,0.5028
qugan_n111,111,two_q,12,0.216,12,11,1530.0,1935.0,1817.0,1841.0,112.19,69.0,6.174,26.47,-1.486,1.642,0.0259
swap_test_n83,83,two_q,12,0.085,12,11,647.0,796.0,753.0,773.5,45.381,62.75,6.027,23.03,-1.121,0.326,0.0317
knn_n67,67,two_q,12,0.071,12,12,524.0,644.0,574.33,570.5,36.034,40.25,6.274,22.9,0.381,-0.606,0.8789
knn_n41,41,two_q,12,0.039,12,11,271.0,333.0,298.75,299.0,19.55,27.25,6.544,22.88,0.165,-0.956,0.8458
swap_test_n41,41,two_q,12,0.037,12,11,271.0,333.0,298.75,299.0,19.55,27.25,6.544,22.88,0.165,-0.956,0.8458
cc_n64,64,two_q,1,0.442,12,12,290.0,356.0,324.33,327.0,22.629,34.25,6.977,22.76,-0.09,-1.297,0.569
bv_n280,280,two_q,12,0.112,12,12,924.0,1134.0,1051.5,1043.5,66.804,101.75,6.353,22.73,-0.268,-0.824,0.398
qugan_n39,39,two_q,12,0.076,12,11,429.0,515.0,463.92,460.0,27.117,39.0,5.845,20.05,0.353,-1.033,0.3464
ghz_state_n255,255,two_q,12,4.438,12,12,1981.0,2352.0,2226.25,2277.5,124.439,204.25,5.59,18.73,-0.752,-0.858,0.0503
cat_n260,260,two_q,12,4.385,12,12,2168.0,2539.0,2333.5,2295.5,135.944,214.75,5.826,17.11,0.571,-1.133,0.0496
dnn_n33,33,two_q,12,0.061,12,12,347.0,406.0,370.92,368.5,17.64,18.75,4.756,17.0,0.514,-0.427,0.7755
dnn_n51,51,two_q,12,0.084,12,12,615.0,718.0,670.83,669.5,35.629,54.5,5.311,16.75,-0.07,-1.348,0.4676
swap_test_n361,361,two_q,12,0.464,12,12,4176.0,4862.0,4552.17,4550.0,181.717,158.0,3.992,16.43,-0.253,0.077,0.8865
knn_n31,31,two_q,12,0.032,12,11,195.0,224.0,212.25,212.0,9.324,12.75,4.393,14.87,-0.317,-0.972,0.6135
ising_n98,98,two_q,12,1.817,12,10,546.0,623.0,573.92,571.0,26.214,44.0,4.568,14.1,0.397,-1.189,0.0472
adder_n28,28,two_q,12,0.048,12,11,387.0,440.0,408.08,403.0,15.442,16.5,3.784,13.7,0.818,-0.313,0.2118
qugan_n71,71,two_q,12,0.129,12,11,1005.0,1137.0,1069.25,1070.0,44.75,67.75,4.185,13.13,0.091,-1.319,0.5661
wstate_n380,380,two_q,12,5.895,12,12,7012.0,7905.0,7345.08,7285.5,271.269,244.75,3.693,12.74,0.794,-0.269,0.3291
cc_n301,301,two_q,1,7.202,12,11,2301.0,2591.0,2420.25,2409.5,73.826,55.75,3.05,12.6,0.653,0.765,0.5254
qugan_n395,395,two_q,12,0.933,12,12,9459.0,10602.0,9977.08,10014.5,344.064,335.25,3.449,12.08,0.369,-0.594,0.6583
qft_n63,63,two_q,12,0.302,12,12,4923.0,5502.0,5272.25,5290.0,152.896,108.5,2.9,11.76,-0.801,0.511,0.5092
knn_129,129,two_q,12,0.136,12,12,1266.0,1410.0,1332.92,1345.5,47.813,77.5,3.587,11.37,-0.051,-1.263,0.5033
qft_n29,29,two_q,12,0.104,12,12,1561.0,1735.0,1652.17,1644.5,54.139,64.75,3.277,11.15,-0.006,-0.863,0.7338
vqe_uccsd_n28,28,two_q,3,47.258,3,3,324154.0,357452.0,335800.67,325796.0,18768.57,16649.0,5.589,10.27,0.701,-1.5,
adder_n118,118,two_q,12,0.198,12,12,2181.0,2398.0,2309.17,2300.5,66.0,96.75,2.858,9.95,-0.298,-0.745,0.6992
swap_test_n115,115,two_q,12,0.106,12,10,1070.0,1171.0,1125.25,1131.5,33.88,41.0,3.011,9.44,-0.251,-1.095,0.5316
adder_n64,64,two_q,12,0.101,12,12,1068.0,1164.0,1104.42,1094.0,32.208,41.75,2.916,8.99,0.579,-0.86,0.2359
adder_n433,433,two_q,12,0.891,12,12,10276.0,11088.0,10717.33,10784.0,225.625,222.25,2.105,7.9,-0.331,-0.402,0.8758
qft_n160,160,two_q,12,0.934,12,12,16405.0,17563.0,17120.17,17232.5,353.513,365.5,2.065,7.06,-0.782,-0.49,0.1952
knn_341,341,two_q,12,0.423,12,12,4054.0,4339.0,4174.33,4183.5,84.007,128.25,2.012,7.03,0.256,-0.663,0.6647
multiplier_n45,45,two_q,12,0.55,12,12,6673.0,7043.0,6871.83,6896.0,114.384,152.5,1.665,5.54,-0.234,-0.982,0.9018
32,32,two_q,12,0.364,12,11,4851.0,5109.0,4998.75,5023.5,75.225,83.25,1.505,5.32,-0.42,-0.612,0.7841
multiplier_n75,75,two_q,12,1.668,12,12,21032.0,21705.0,21437.42,21456.0,190.279,202.25,0.888,3.2,-0.5,-0.052,0.7176
qft_n320,320,two_q,12,2.216,12,12,37601.0,38756.0,38278.92,38309.5,302.34,242.25,0.79,3.07,-0.747,0.466,0.5325
square_root_n45,45,two_q,8,15.466,8,8,194916.0,200668.0,198457.12,198918.0,1760.287,1360.25,0.887,2.95,-0.909,0.18,0.4545
100,100,two_q,12,6.428,12,12,105540.0,106959.0,106355.5,106368.0,423.072,392.25,0.398,1.34,-0.509,-0.44,0.5121
multiplier_n400,400,two_q,2,67.792,2,2,777964.0,784110.0,781037.0,781037.0,4345.878,3073.0,0.556,0.79,,,
multiplier_n350,350,two_q,3,49.65,3,3,584746.0,588485.0,586053.33,584929.0,2107.872,1869.5,0.36,0.64,0.701,-1.5,
bwt_n37,37,two_q,1,255.52,1,1,2100876.0,2100876.0,2100876.0,2100876.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.082,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.03,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.041,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.068,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.041,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.072,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
ising_n34,34,two_q,1,0.034,12,1,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,,,
ising_n42,42,two_q,1,0.058,12,1,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,,,
ising_n420,420,two_q,1,0.829,12,1,838.0,838.0,838.0,838.0,0.0,0.0,0.0,0.0,,,
ising_n66,66,two_q,1,0.052,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
square_root_n60,60,two_q,1,148.089,1,1,1665651.0,1665651.0,1665651.0,1665651.0,0.0,0.0,0.0,0.0,,,
wstate_n118,118,two_q,1,0.078,12,1,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,,,
wstate_n36,36,two_q,1,0.034,12,1,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
wstate_n76,76,two_q,1,0.071,12,1,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,,,
