topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,true_change_pct,ground_truth,unpaired_p,unpaired_lo,unpaired_hi,paired_p,paired_lo,paired_hi,paired_is_degenerate,bootstrap_mode,method_point,method_interval
linear,multiplier_n45,2.0.0,2.0.2,12,3,0.1,-7.298,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,multiplier_n75,2.0.0,2.0.2,12,3,0.1,-6.965,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qft_n160,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0214,0.0,0.09,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qft_n29,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0002,0.0,0.0027,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qft_n320,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.271,0.043,0.332,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qft_n63,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qugan_n111,2.0.0,2.0.2,12,3,0.1,-16.098,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qugan_n39,2.0.0,2.0.2,12,3,0.1,-16.342,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qugan_n395,2.0.0,2.0.2,12,3,0.1,-15.923,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,qugan_n71,2.0.0,2.0.2,12,3,0.1,-16.045,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,swap_test_n115,2.0.0,2.0.2,12,3,0.1,-29.247,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,swap_test_n361,2.0.0,2.0.2,12,3,0.1,-30.412,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,swap_test_n41,2.0.0,2.0.2,12,3,0.1,-28.346,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,swap_test_n83,2.0.0,2.0.2,12,3,0.1,-29.602,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,wstate_n118,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,wstate_n36,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,wstate_n380,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
linear,wstate_n76,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
