topology,circuit,qiskit_old,qiskit_new,n_seeds_old,n_seeds_new,k,threshold,true_change_pct,p_call,ci_lo,ci_hi,ci_width,boundary_artifact,verdict,ci_method_point,ci_method_interval
heavy-hex,knn_n41,2.0.2,2.0.0,12,12,3,0.1,8.34,0.3763,0.0816,0.749,0.6674,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,knn_n67,2.0.2,2.0.0,12,12,3,0.1,6.384,0.2308,0.0263,0.6135,0.5872,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,multiplier_n45,2.0.2,2.0.0,12,12,3,0.1,7.198,0.0179,0.0,0.1281,0.128,True,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,multiplier_n75,2.0.2,2.0.0,12,12,3,0.1,6.65,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qft_n160,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qft_n29,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.001,0.001,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qft_n320,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qft_n63,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0011,0.0011,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qugan_n111,2.0.2,2.0.0,12,12,3,0.1,8.833,0.3871,0.0601,0.7802,0.7201,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qugan_n39,2.0.2,2.0.0,12,12,3,0.1,12.251,0.6908,0.2817,0.9462,0.6644,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
