id,status,tier,section,claim,value,numerator,denominator,sampling_unit,ci_lo,ci_hi,ci_method,source
s43.k3.heavy-hex,LIVE,DERIVED,43,"median unpaired band at k=3, heavy-hex",14.043,,32,circuit with a non-zero measured per-seed change,,,"point estimate, exact enumeration; no interval computed for this table",results/summary/ksweep_heavy-hex.csv
s43.k5.heavy-hex,LIVE,DERIVED,43,"median unpaired band at k=5, heavy-hex",10.862,,32,circuit with a non-zero measured per-seed change,,,"point estimate, exact enumeration; no interval computed for this table",results/summary/ksweep_heavy-hex.csv
s30.spread.linear.q202,LIVE,RAW,30,"median within-version seed spread (max-min)/min, linear, 2.0.2",0.8958700664507562,,56,circuit with >= 2 seeds,,,"none — descriptive median, not a proportion",results/raw/bp_large_linear_q202.jsonl
s30.spread.square.q202,LIVE,RAW,30,"median within-version seed spread (max-min)/min, square, 2.0.2",5.940159705959671,,56,circuit with >= 2 seeds,,,"none — descriptive median, not a proportion",results/raw/bp_large_square_q202.jsonl
s30.spread.heavy-hex.q202,LIVE,RAW,30,"median within-version seed spread (max-min)/min, heavy-hex, 2.0.2",10.7094894120623,,56,circuit with >= 2 seeds,,,"none — descriptive median, not a proportion",results/raw/bp_large_heavy-hex_q202.jsonl
s44.replication.exact,LIVE,RAW,44,per-seed values reproduced exactly by replication/replicate.py,1.0,144,144,"(circuit, seed, version) triple",,,none — a census of the artifact's own 144 checks,"replication/out_q{200,202}.jsonl vs replication/expected.json"
s48.error.bv_n140,LIVE,RAW,48,bv_n140: rate at which the 3-run unseeded protocol returns the WRONG verdict on the real 1.4.3 -> 2.0.0 change,0.029801,,200,seed (200 per arm); rate is exact over 200**3 sum-tuples,0.01722,0.049909,"seed bootstrap B=400 joint, 95%; point exact by integer rule","results/raw/deep_bv_n140_q{143,200}.jsonl"
s48.truth.bv_n140,LIVE,RAW,48,"bv_n140: true mean change, 1.4.3 -> 2.0.0, 200 seeds/arm (REGRESSION)",31.035,,200,seed,28.377,33.796,"percentile bootstrap over seeds, B=4000, 95%","results/raw/deep_bv_n140_q{143,200}.jsonl"
s48.error.bv_n30,LIVE,RAW,48,bv_n30: rate at which the 3-run unseeded protocol returns the WRONG verdict on the real 1.4.3 -> 2.0.0 change,0.007054,,200,seed (200 per arm); rate is exact over 200**3 sum-tuples,0.002259,0.014318,"seed bootstrap B=400 joint, 95%; point exact by integer rule","results/raw/deep_bv_n30_q{143,200}.jsonl"
s48.truth.bv_n30,LIVE,RAW,48,"bv_n30: true mean change, 1.4.3 -> 2.0.0, 200 seeds/arm (REGRESSION)",24.18,,200,seed,22.691,25.724,"percentile bootstrap over seeds, B=4000, 95%","results/raw/deep_bv_n30_q{143,200}.jsonl"
