topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,true_change_pct,ground_truth,unpaired_p,unpaired_lo,unpaired_hi,paired_p,paired_lo,paired_hi,paired_is_degenerate,bootstrap_mode,method_point,method_interval
square,ising_n42,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,ising_n420,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,ising_n66,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,ising_n98,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,knn_129,2.0.0,2.0.2,12,3,0.1,-5.047,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,knn_341,2.0.0,2.0.2,12,3,0.1,-5.789,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,knn_n31,2.0.0,2.0.2,12,3,0.1,-3.62,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,knn_n41,2.0.0,2.0.2,12,3,0.1,-4.558,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,knn_n67,2.0.0,2.0.2,12,3,0.1,-4.594,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,multiplier_n45,2.0.0,2.0.2,12,3,0.1,-5.289,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,multiplier_n75,2.0.0,2.0.2,12,3,0.1,-4.825,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qft_n160,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qft_n29,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0007,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qft_n320,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qft_n63,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qugan_n111,2.0.0,2.0.2,12,3,0.1,-7.4,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qugan_n39,2.0.0,2.0.2,12,3,0.1,-8.715,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qugan_n395,2.0.0,2.0.2,12,3,0.1,-5.833,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,qugan_n71,2.0.0,2.0.2,12,3,0.1,-8.328,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,swap_test_n115,2.0.0,2.0.2,12,3,0.1,-5.956,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,swap_test_n361,2.0.0,2.0.2,12,3,0.1,-4.898,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,swap_test_n41,2.0.0,2.0.2,12,3,0.1,-4.558,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,swap_test_n83,2.0.0,2.0.2,12,3,0.1,-5.88,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,wstate_n118,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,wstate_n36,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,wstate_n380,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
square,wstate_n76,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
