circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
multiplier_n400,400,two_q,2,79.424,2,2,871878.0,896530.0,884204.0,884204.0,17431.596,12326.0,1.971,2.83,,,
knn_129,129,two_q,3,0.353,12,2,578.0,593.0,579.25,578.0,4.33,0.0,0.748,2.6,3.015,7.091,0.0
qugan_n395,395,two_q,12,1.043,12,11,4144.0,4239.0,4196.08,4202.5,29.15,30.0,0.695,2.29,-0.311,-0.812,0.8048
adder_n433,433,two_q,12,1.534,12,10,4755.0,4851.0,4825.25,4831.5,27.756,26.0,0.575,2.02,-1.463,1.435,0.0184
adder_n28,28,two_q,9,0.035,12,2,354.0,360.0,357.5,360.0,3.09,6.0,0.864,1.69,-0.338,-1.886,0.0002
knn_341,341,two_q,3,1.129,12,2,1532.0,1547.0,1535.75,1532.0,6.784,3.75,0.442,0.98,1.155,-0.667,0.0
swap_test_n361,361,two_q,3,0.546,12,2,1622.0,1637.0,1625.75,1622.0,6.784,3.75,0.417,0.92,1.155,-0.667,0.0
bv_n280,280,two_q,2,0.106,12,2,665.0,669.0,667.33,669.0,2.06,4.0,0.309,0.6,-0.338,-1.886,0.0002
100,100,two_q,4,24.644,4,4,378912.0,381105.0,380004.75,380001.0,979.298,1277.25,0.258,0.58,0.009,-1.549,
square_root_n45,45,two_q,6,16.621,6,6,278500.0,279578.0,279255.33,279392.0,386.907,165.5,0.139,0.39,-1.458,0.623,
vqe_uccsd_n28,28,two_q,3,39.096,3,3,231447.0,231895.0,231609.67,231487.0,247.914,224.0,0.107,0.19,0.686,-1.5,
bwt_n37,37,two_q,1,275.791,1,1,3136800.0,3136800.0,3136800.0,3136800.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.018,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n260,260,two_q,1,0.03,12,1,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.009,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.011,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.071,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.04,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.054,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
ghz_state_n255,255,two_q,1,0.116,12,1,254.0,254.0,254.0,254.0,0.0,0.0,0.0,0.0,,,
ising_n34,34,two_q,1,0.045,12,1,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,,,
ising_n42,42,two_q,1,0.056,12,1,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,,,
ising_n420,420,two_q,1,0.291,12,1,838.0,838.0,838.0,838.0,0.0,0.0,0.0,0.0,,,
ising_n66,66,two_q,1,0.027,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
ising_n98,98,two_q,1,0.067,12,1,194.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,,,
knn_n31,31,two_q,1,0.089,12,1,137.0,137.0,137.0,137.0,0.0,0.0,0.0,0.0,,,
knn_n41,41,two_q,1,0.105,12,1,182.0,182.0,182.0,182.0,0.0,0.0,0.0,0.0,,,
knn_n67,67,two_q,1,0.128,12,1,299.0,299.0,299.0,299.0,0.0,0.0,0.0,0.0,,,
multiplier_n350,350,two_q,1,98.324,1,1,669435.0,669435.0,669435.0,669435.0,0.0,0.0,0.0,0.0,,,
square_root_n60,60,two_q,1,164.497,1,1,2487288.0,2487288.0,2487288.0,2487288.0,0.0,0.0,0.0,0.0,,,
swap_test_n41,41,two_q,1,0.035,12,1,182.0,182.0,182.0,182.0,0.0,0.0,0.0,0.0,,,
swap_test_n83,83,two_q,2,0.069,12,1,371.0,371.0,371.0,371.0,0.0,0.0,0.0,0.0,,,
wstate_n118,118,two_q,1,0.022,12,1,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,,,
wstate_n36,36,two_q,1,0.011,12,1,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
wstate_n380,380,two_q,1,0.059,12,1,758.0,758.0,758.0,758.0,0.0,0.0,0.0,0.0,,,
wstate_n76,76,two_q,1,0.017,12,1,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,,,
