circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
bv_n70,70,two_q,12,0.042,12,11,107.0,142.0,125.75,126.0,11.802,21.25,9.386,32.71,-0.153,-1.25,0.4365
cc_n32,32,two_q,1,0.132,12,11,91.0,120.0,107.33,106.5,7.328,6.0,6.827,31.87,-0.405,0.598,0.595
bv_n140,140,two_q,12,0.071,12,12,288.0,366.0,325.67,320.5,23.216,26.5,7.129,27.08,0.359,-0.67,0.7622
bv_n30,30,two_q,12,0.026,12,7,38.0,48.0,42.33,41.0,3.339,4.0,7.888,26.32,0.599,-0.986,0.1118
bv_n280,280,two_q,12,0.104,12,12,707.0,891.0,843.92,858.0,50.88,35.75,6.029,26.03,-1.765,2.451,0.0071
cc_n151,151,two_q,1,1.79,12,12,768.0,913.0,848.25,859.0,40.846,47.25,4.815,18.88,-0.591,-0.328,0.4894
qugan_n39,39,two_q,12,0.066,12,12,355.0,419.0,382.33,380.0,18.681,17.75,4.886,18.03,0.714,-0.22,0.3272
cc_n64,64,two_q,1,0.398,12,12,255.0,298.0,274.67,271.5,14.272,22.25,5.196,16.86,0.324,-1.223,0.4598
dnn_n51,51,two_q,12,0.083,12,12,514.0,592.0,548.83,554.5,24.39,39.75,4.444,15.18,-0.088,-0.98,0.2146
knn_n67,67,two_q,12,0.083,12,12,444.0,504.0,479.33,476.5,18.267,29.5,3.811,13.51,-0.174,-0.721,0.4611
qugan_n111,111,two_q,12,0.213,12,12,1349.0,1530.0,1456.75,1454.0,58.644,71.75,4.026,13.42,-0.304,-0.91,0.5864
knn_n31,31,two_q,12,0.032,12,9,172.0,195.0,184.17,184.0,7.259,5.5,3.942,13.37,-0.007,-0.828,0.3372
adder_n64,64,two_q,12,0.091,12,10,836.0,945.0,887.25,893.0,30.085,33.5,3.391,13.04,0.078,-0.452,0.9202
cc_n301,301,two_q,1,7.745,12,12,1862.0,2097.0,1996.25,2005.0,70.88,94.5,3.551,12.62,-0.478,-0.721,0.8151
qft_n29,29,two_q,12,0.092,12,12,1193.0,1338.0,1263.83,1267.0,36.321,43.0,2.874,12.15,0.018,0.327,0.7758
swap_test_n83,83,two_q,12,0.105,12,12,523.0,586.0,552.25,550.5,21.244,34.25,3.847,12.05,0.233,-1.279,0.4754
qugan_n395,395,two_q,12,0.899,12,12,6461.0,7168.0,6758.67,6769.0,170.753,149.5,2.526,10.94,0.717,1.307,0.2736
adder_n118,118,two_q,12,0.182,12,12,1661.0,1839.0,1764.08,1769.0,55.791,70.75,3.163,10.72,-0.38,-0.892,0.7701
