circuit,n_qubits,metric,distinct_circuits,median_seconds,n_seeds,distinct_values,min,max,mean,median,std,iqr,cv_pct,spread_pct,skew,kurtosis,shapiro_p
qugan_n71,71,two_q,12,0.125,12,12,768.0,849.0,801.75,802.0,28.442,45.0,3.547,10.55,0.298,-1.327,0.1907
knn_129,129,two_q,12,0.142,12,12,994.0,1096.0,1045.83,1048.0,36.702,59.25,3.509,10.26,-0.051,-1.404,0.4055
swap_test_n115,115,two_q,12,0.121,12,12,811.0,894.0,856.58,856.5,28.57,44.0,3.335,10.23,-0.109,-1.43,0.2821
adder_n28,28,two_q,12,0.039,12,11,318.0,348.0,329.17,329.0,8.021,7.5,2.437,9.43,0.934,0.694,0.3677
dnn_n33,33,two_q,12,0.052,12,11,295.0,321.0,306.0,304.5,7.64,7.75,2.497,8.81,0.505,-0.501,0.823
knn_n41,41,two_q,12,0.045,12,9,246.0,267.0,256.5,256.0,6.403,9.0,2.496,8.54,0.004,-0.936,0.874
swap_test_n41,41,two_q,12,0.045,12,9,246.0,267.0,256.5,256.0,6.403,9.0,2.496,8.54,0.004,-0.936,0.874
adder_n433,433,two_q,12,0.806,12,12,7041.0,7596.0,7378.5,7391.5,146.773,164.5,1.989,7.88,-0.735,0.496,0.5825
swap_test_n361,361,two_q,12,0.448,12,11,3460.0,3685.0,3627.92,3643.5,67.641,38.75,1.864,6.5,-1.602,1.386,0.0032
knn_341,341,two_q,12,0.405,12,12,2641.0,2800.0,2713.5,2717.0,49.705,52.75,1.832,6.02,0.399,-0.673,0.5106
qft_n63,63,two_q,12,0.267,12,12,3925.0,4155.0,4033.0,4047.5,67.371,93.0,1.671,5.86,-0.047,-0.77,0.8643
qft_n320,320,two_q,12,1.985,12,11,27968.0,28954.0,28525.17,28586.5,310.931,369.0,1.09,3.53,-0.419,-0.941,0.4951
multiplier_n45,45,two_q,12,0.512,12,12,5622.0,5820.0,5756.75,5767.5,50.238,41.25,0.873,3.52,-1.588,2.47,0.0258
32,32,two_q,12,0.334,12,11,3588.0,3702.0,3635.5,3634.5,28.542,15.0,0.785,3.18,0.639,0.982,0.2898
qft_n160,160,two_q,12,0.865,12,12,12550.0,12945.0,12753.5,12746.0,128.381,177.5,1.007,3.15,0.087,-1.235,0.5618
multiplier_n75,75,two_q,12,1.466,12,12,17484.0,17854.0,17702.67,17730.5,118.086,166.75,0.667,2.12,-0.407,-1.0,0.5833
multiplier_n400,400,two_q,2,60.65,2,2,616097.0,625328.0,620712.5,620712.5,6527.303,4615.5,1.052,1.5,,,
100,100,two_q,12,5.575,12,12,75696.0,76662.0,76260.25,76320.0,319.546,482.25,0.419,1.28,-0.289,-1.247,0.2912
multiplier_n350,350,two_q,3,45.218,3,3,468170.0,473462.0,471241.33,472092.0,2746.642,2646.0,0.583,1.13,-0.514,-1.5,
square_root_n45,45,two_q,9,13.974,9,9,157034.0,158281.0,157782.78,157766.0,375.724,168.0,0.238,0.79,-0.625,-0.032,0.4926
vqe_uccsd_n28,28,two_q,3,40.888,3,3,237243.0,239051.0,238145.67,238143.0,904.003,904.0,0.38,0.76,0.005,-1.5,
bwt_n37,37,two_q,1,224.072,1,1,1611277.0,1611277.0,1611277.0,1611277.0,0.0,0.0,0.0,0.0,,,
cat_n130,130,two_q,1,0.059,12,1,129.0,129.0,129.0,129.0,0.0,0.0,0.0,0.0,,,
cat_n260,260,two_q,1,0.103,12,1,259.0,259.0,259.0,259.0,0.0,0.0,0.0,0.0,,,
cat_n35,35,two_q,1,0.086,12,1,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,,,
cat_n65,65,two_q,1,0.038,12,1,64.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,,,
ghz_n127,127,two_q,1,0.059,12,1,126.0,126.0,126.0,126.0,0.0,0.0,0.0,0.0,,,
ghz_n40,40,two_q,1,0.028,12,1,39.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,,,
ghz_n78,78,two_q,1,0.487,12,1,77.0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,,,
ghz_state_n255,255,two_q,1,1.907,12,1,254.0,254.0,254.0,254.0,0.0,0.0,0.0,0.0,,,
ising_n34,34,two_q,1,0.048,12,1,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,,,
ising_n42,42,two_q,1,0.034,12,1,82.0,82.0,82.0,82.0,0.0,0.0,0.0,0.0,,,
ising_n420,420,two_q,1,0.243,12,1,838.0,838.0,838.0,838.0,0.0,0.0,0.0,0.0,,,
ising_n66,66,two_q,1,0.045,12,1,130.0,130.0,130.0,130.0,0.0,0.0,0.0,0.0,,,
ising_n98,98,two_q,1,0.667,12,1,194.0,194.0,194.0,194.0,0.0,0.0,0.0,0.0,,,
square_root_n60,60,two_q,1,128.625,1,1,1275458.0,1275458.0,1275458.0,1275458.0,0.0,0.0,0.0,0.0,,,
wstate_n118,118,two_q,1,1.534,12,1,234.0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,,,
wstate_n36,36,two_q,1,0.009,12,1,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
wstate_n380,380,two_q,1,0.249,12,1,758.0,758.0,758.0,758.0,0.0,0.0,0.0,0.0,,,
wstate_n76,76,two_q,1,0.133,12,1,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,,,
